IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
684,684,20-34,Male,Yes,Yes,Yes,Yes,Yes,No,Agree,Agree,Agree,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,Visiting the city and seeing existing attractions,City of culture,,Not really,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Not very important,Fairly important,Very important,Very important,Don't know / Not sure,Not sure,,,CV2 4eg,,No,Any Other Ethnic Group,Heterosexual/Straight,Yes,,St Michael's,South East,CAPI,3 - Comfortable Communities,0.9355968
685,685,20-34,Male,Yes,Yes,No,Yes,Yes,Yes,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Not sure,Not sure,Agree,Agree,Agree,Disagree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,,,,Extremely likely,Visiting the city and seeing existing attractions,,Don't know,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,,Don't know,Cv24ll,,No,White – British,Heterosexual/Straight,Yes,,St Michael's,South East,CAPI,5 - Urban Adversity,0.9355968
686,686,20-34,Male,Yes,Not sure,Not sure,Not sure,No,Not sure,Agree,Not sure,Not sure,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Strongly agree,Not sure,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,3-4,,,,,,,,,,Events that involve family and friends,,,,,,,Not very likely,,,Don't know,Somewhat,Not really,Definitely,Somewhat,Definitely,Fairly important,Not very important,Fairly important,Very important,Fairly important,Very important,Very important,Very important,Agree,,Don't know,,Prefer not to say,"Yes, limited a lot",Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,Prefer not to say / Unable to code,0.9355968
687,687,16-19,Male,Yes,Not sure,Not sure,Not sure,Yes,Yes,Agree,Agree,Not sure,Agree,More sports,,,,,,,Outdoor/physical activities,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Not sure,Not sure,Agree,Museums and galleries,,,Live music,,Cinema,,,,3-4,,,,,,,,,,,Events which are free,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,City contre and central six,,Somewhat,Somewhat,Definitely,Definitely,Somewhat,Fairly important,Fairly important,Not very important,Very important,Not at all important,Very important,Very important,Fairly important,Strongly agree,Herbert art,,Cv65ja,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9355968
688,688,16-19,Male,Yes,No,No,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,,,,,Cinema,,Faith-based cultural activities,,3-4,,,,,,,,,Events that are based on my interests,,,Events across different times of the day in different places in the city,Events which are low cost,,,,Extremely likely,Visiting the city and seeing existing attractions,Transport museum,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,Fountains,,Cv65hw,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9355968
689,689,20-34,Male,Yes,Not sure,No,Not sure,Not sure,No,Disagree,Agree,Strongly disagree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Not sure,,,,,,,,,None of these,,,,,,,,,None / Nothing,,,Events which are free,,,,,,Fairly likely,Visiting the city and seeing existing attractions,,Don't know,Definitely,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Agree,,Don't know,Cv14ap,,Prefer not to say,Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9355968
690,690,20-34,Male,Yes,Not sure,Yes,No,No,Yes,Not sure,Not sure,Not sure,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Not sure,Not sure,Not sure,Not sure,Not sure,Museums and galleries,"Pubs, clubs, and bars",,,Theatre,Cinema,,,,3-4,,,,,,,,,,,,,Events which are low cost,,,,Extremely likely,Visiting the city and seeing existing attractions,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not very important,Not very important,Not very important,Don't know / Not sure,Not very important,Not very important,Not very important,Not very important,Not sure,,,,Prefer not to say,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,Prefer not to say / Unable to code,0.9355968
691,691,20-34,Male,No,Yes,Not sure,Not sure,Not sure,Not sure,Agree,Agree,Not sure,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Not sure,Agree,,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,,,11+,,,,,,,,,,,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Fairly likely,Visiting the city and seeing existing attractions,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,,Don't know,,Prefer not to say,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,Prefer not to say / Unable to code,0.9355968
692,692,20-34,Female,No,No,No,No,Not sure,No,Agree,Agree,Not sure,Agree,Yes,,,,,,,,,,,,,,,,,,,,Nothing,,Agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,,,Events which are free,,,,,,Extremely likely,Looking for new experiences,Poor city,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Not very important,Very important,Very important,Very important,Fairly important,Fairly important,Fairly important,Agree,Yea,,Cv12HP,,"Yes, limited a little",Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,5 - Urban Adversity,0.9480587
693,693,20-34,Female,Yes,Yes,Not sure,No,Yes,Yes,Agree,Agree,Agree,Agree,Need to see more architecture buildings in Coventry,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,,Theatre,Cinema,,,,1-2,,,,,Feeling unsafe being out at night,,,,,Events that involve family and friends,Events which are free,,Events which are low cost,,,,Fairly likely,Looking for new experiences,"Coventry is a quiet place, no heavy traffic",,Somewhat,Definitely,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,"Churches in Coventry, old buildings",,Cv63BX,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,3 - Comfortable Communities,0.9480587
694,694,20-34,Female,Yes,No,No,No,Yes,Yes,Not sure,Not sure,Not sure,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Not sure,Agree,Agree,,,,,,,,,None of these,,,Lack of transport,,,,,,,,Events that involve family and friends,,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,,Don't know,Definitely,Not really,Not Sure,Not Sure,Definitely,Very important,Very important,Very important,Don't know / Not sure,Very important,Very important,Very important,Very important,Agree,,Don't know,Cv3 5gw,,Prefer not to say,Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,3 - Comfortable Communities,0.9480587
695,695,20-34,Male,Yes,No,No,Yes,Yes,No,Not sure,Not sure,Not sure,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Disagree,Agree,Agree,Agree,Not sure,Not sure,,"Pubs, clubs, and bars",,,,,,,,1-2,The cost,,,Location,,,,,,,,,,,,None of these / Would not attend,Not likely at all,,People,,Not at all,Not at all,Not really,Somewhat,Not at all,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Not very important,Not at all important,Not sure,,,,Prefer not to say,"Yes, limited a lot",Prefer not to say,Heterosexual/Straight,No,,St Michael's,South East,CAPI,Prefer not to say / Unable to code,0.9355968
696,696,20-34,Male,Yes,Yes,Yes,No,No,Not sure,Agree,Agree,Agree,Agree,Cultural building,,,,,,,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Agree,Not sure,Strongly agree,Agree,Not sure,Not sure,Museums and galleries,,,,,,,,,1-2,,,,,Feeling unsafe being out at night,,,,,,Events which are free,,,,,,Fairly likely,Looking for new experiences,Cathedral,,Not really,Not at all,Not really,Not at all,Not really,Fairly important,Not very important,Fairly important,Not very important,Fairly important,Fairly important,Fairly important,Don't know / Not sure,Not sure,,,Cv24eb,,No,Asian or Asian British – Indian,Bisexual,Yes,,St Michael's,South East,CAPI,5 - Urban Adversity,0.9355968
697,697,16-19,Male,Yes,No,No,Yes,No,Yes,Agree,Not sure,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Not sure,Not sure,Agree,Agree,Agree,Disagree,Museums and galleries,,,,Theatre,Cinema,,,,1-2,The cost,,The events that are on don't appeal to me,Location,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not likely at all,,Knife crime Transport museum Engineering Frank Whittle,,Somewhat,Somewhat,Definitely,Somewhat,Somewhat,Not very important,Fairly important,Don't know / Not sure,Don't know / Not sure,Fairly important,Fairly important,Very important,Not very important,Not sure,,,CV1 4HT,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9355968
698,698,20-34,Female,No,Not sure,Not sure,Not sure,Not sure,No,Agree,Agree,Agree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Not sure,Not sure,Not sure,Not sure,Not sure,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,1-2,The cost,Lack of transport,,,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,,,,Not very likely,,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,,Don't know,,Prefer not to say,"Yes, limited a little",Asian or Asian British – Indian,Heterosexual/Straight,No,,Lower Stoke,South East,CAPI,Prefer not to say / Unable to code,0.9480587
699,699,20-34,Female,Yes,No,Not sure,Not sure,Yes,No,Not sure,Not sure,Agree,Not sure,Good,,,,,,,,,,,,,,,,,,Positive comments,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,Live events,Live music,,Cinema,,,,9-10,,,,,,,,,,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Cultural,,Somewhat,Somewhat,Somewhat,Somewhat,Not really,Fairly important,Fairly important,Not very important,Fairly important,Not very important,Fairly important,Fairly important,Very important,Agree,,Don't know,,Prefer not to say,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,,Lower Stoke,South East,CAPI,Prefer not to say / Unable to code,0.9480587
700,700,20-34,Female,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Agree,Agree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,,Live events,,,Cinema,,Faith-based cultural activities,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,,,,Fairly likely,Visiting the city and seeing existing attractions,Transport,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Strongly agree,,Don't know,Cv2 4eg,,No,Asian or Asian British – Bangladeshi,Heterosexual/Straight,No,,Lower Stoke,South East,CAPI,3 - Comfortable Communities,0.9480587
701,701,20-34,Male,Yes,Yes,Yes,Yes,No,No,Disagree,Disagree,Disagree,Strongly agree,good for the whole city,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,,,,Live music,Theatre,Cinema,,,,3-4,,,,,,,,,Events that are based on my interests,,,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Looking for new experiences,busy and developing,,Definitely,Somewhat,Somewhat,Somewhat,Somewhat,Very important,Don't know / Not sure,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Strongly disagree,,,cv1 5qa,,No,White – British,Heterosexual/Straight,No,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9355968
702,702,20-34,Female,Yes,No,No,No,No,No,Disagree,Disagree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Disagree,Agree,Disagree,Not sure,Museums and galleries,,Live events,,Theatre,,,,,3-4,,,,,,,,,Events that are based on my interests,,Events which are free,Events across different times of the day in different places in the city,,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Not very important,Fairly important,Fairly important,Fairly important,Fairly important,Disagree,,,cv1 5ps,,No,Asian or Asian British – Chinese,Heterosexual/Straight,No,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9480587
